id,host_resp_rate_pct,host_accept_rate_pct,host_listings_count,latitude,longitude,accommodates,bedrooms,beds,price_usd,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,clusters,cluster
1148625,100,96,1,37.76848,-122.44556,1,1.0,1.0,85.0,4,1125,7,13,43,43,384,31,2,4.91,4.95,4.96,4.93,4.83,4.91,4.83,1,0,1,0,3.35,1,pink
1150867,80,100,1,37.76658,-122.43825,2,1.0,1.0,390.0,2,29,29,54,84,359,390,22,0,4.85,4.85,4.95,4.85,4.79,4.88,4.68,1,1,0,0,3.4,1,pink
1157109,90,96,4,37.77936,-122.41126,4,3.0,3.0,140.0,360,1125,0,0,3,278,2,2,0,4.0,4.0,3.0,4.0,4.5,2.5,4.0,3,3,0,0,0.17,1,pink
1159284,100,25,2,37.80521,-122.40579,2,1.0,1.0,295.0,30,180,27,57,87,362,6,1,0,4.17,4.33,4.5,4.17,4.33,4.83,4.17,1,1,0,0,0.06,1,pink
1163946,88,88,1,37.76111,-122.42082,2,2.0,2.0,70.0,30,90,0,0,0,0,2,0,0,4.5,5.0,4.5,5.0,5.0,4.5,4.5,1,1,0,0,0.03,1,pink
1178260,100,100,1,37.80069,-122.40586,4,2.0,2.0,160.0,30,180,11,11,11,271,119,4,0,4.94,4.88,4.95,4.95,4.97,4.91,4.81,1,1,0,0,1.04,1,pink
1195173,100,78,1,37.79104,-122.41551,1,1.0,1.0,75.0,30,120,13,25,25,204,25,1,0,4.92,4.92,4.92,4.96,4.96,5.0,4.88,1,0,1,0,0.22,1,pink
1195374,88,88,1,37.7689,-122.42765,2,1.0,1.0,140.0,45,1125,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,5.0,1,1,0,0,0.13,1,pink
1200068,100,40,2,37.73411,-122.44805,1,1.0,1.0,55.0,30,1125,16,44,46,321,19,0,0,4.89,5.0,4.95,5.0,4.89,4.74,4.89,2,0,2,0,0.17,1,pink
1201159,100,100,1,37.78242,-122.39963,2,1.55,1.8,61.0,30,365,0,0,12,161,43,3,0,4.98,5.0,4.93,4.93,5.0,4.81,4.74,1,1,0,0,0.38,1,pink
1202686,100,67,3,37.76503,-122.42034,3,2.0,2.0,110.0,60,365,4,34,64,138,24,1,0,4.54,4.61,4.43,4.87,4.87,4.39,4.39,3,3,0,0,0.24,1,pink
1212513,100,100,2,37.76067,-122.4389,5,2.0,2.0,193.0,2,29,19,43,73,163,7,1,0,5.0,5.0,5.0,4.86,5.0,5.0,4.86,2,1,1,0,0.06,1,pink
1212822,100,100,2,37.80494,-122.44457,5,3.0,3.0,320.0,30,730,30,60,90,365,41,1,0,4.88,4.9,4.88,4.83,4.88,5.0,4.75,2,2,0,0,0.36,1,pink
1229606,100,85,2,37.77658,-122.40887,4,1.0,2.0,100.0,31,190,30,60,90,365,104,0,0,4.66,4.77,4.88,4.8,4.8,4.23,4.54,2,2,0,0,0.9,1,pink
1245838,100,62,2,37.73483,-122.41838,7,3.0,4.0,411.0,3,21,4,4,4,5,43,5,0,4.81,4.72,4.74,4.81,4.86,4.81,4.65,1,1,0,0,0.38,1,pink
1247276,100,75,2,37.78076,-122.46635,2,1.0,1.0,56.0,30,180,5,35,65,340,37,1,0,4.45,4.73,4.42,4.7,4.48,4.52,4.52,1,0,1,0,0.33,1,pink
1265074,100,100,1,37.75135,-122.47282,6,3.0,3.0,215.0,30,1125,1,31,61,336,4,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.23,1,pink
1267206,100,90,2,37.74184,-122.42423,2,1.0,1.0,75.0,3,150,22,52,82,172,79,10,0,4.82,4.95,4.94,4.97,4.97,4.87,4.81,2,0,2,0,0.69,1,pink
1276953,100,63,1,37.77055,-122.4314,3,2.0,2.0,296.0,5,28,0,0,0,0,52,8,0,4.96,5.0,4.9,4.9,4.98,4.92,4.85,1,1,0,0,0.47,1,pink
1277771,100,100,3,37.78528,-122.47445,6,2.0,3.0,190.0,3,28,4,10,23,168,666,88,5,4.74,4.79,4.75,4.91,4.9,4.8,4.73,2,2,0,0,5.89,1,pink
1281167,88,88,57,37.78878,-122.4106,4,1.55,2.0,194.0,1,6,0,0,0,0,166,0,0,4.85,4.9,4.89,4.9,4.91,4.88,4.78,29,0,29,0,1.46,1,pink
1299242,100,80,2,37.74296,-122.42148,3,3.0,2.0,186.0,365,730,2,32,62,337,4,0,0,4.75,5.0,4.75,4.5,5.0,4.75,4.5,2,2,0,0,0.04,1,pink
1299759,0,56,1,37.77743,-122.44421,2,1.0,1.0,98.0,30,1125,14,14,14,14,39,6,0,4.89,4.95,4.95,4.97,4.97,4.76,4.74,1,1,0,0,0.36,1,pink
1304068,88,88,1,37.77001,-122.43485,6,3.0,4.0,425.0,3,16,0,0,0,0,20,0,0,4.89,5.0,4.89,4.94,4.89,4.95,4.84,1,1,0,0,0.18,1,pink
1309496,100,100,1,37.77717,-122.43993,4,3.0,3.0,341.0,7,29,4,5,5,5,47,7,1,5.0,4.96,4.93,4.93,4.98,4.98,4.87,1,1,0,0,0.43,1,pink
1317908,100,98,3,37.77937,-122.43752,1,1.0,1.0,100.0,3,365,8,36,66,316,169,34,3,4.9,4.88,4.92,4.95,4.96,4.95,4.81,3,0,3,0,1.49,1,pink
1323983,100,100,5,37.7651,-122.43541,2,1.0,1.0,63.0,1,7,5,17,37,111,316,68,8,4.92,4.95,4.89,4.94,4.95,4.96,4.89,4,2,2,0,2.78,1,pink
1332766,44,94,4,37.78981,-122.4114,1,1.55,1.0,75.0,30,1125,24,24,24,292,19,4,0,4.4,4.69,4.31,4.88,4.69,4.63,4.38,1,1,0,0,0.17,1,pink
1336798,100,100,2,37.76989,-122.44666,8,4.0,5.0,464.0,30,1125,15,15,19,294,101,0,0,4.6,4.75,4.44,4.78,4.85,4.64,4.58,1,1,0,0,0.89,1,pink
1336998,100,100,2,37.77811,-122.43639,2,1.0,1.0,90.0,2,28,13,40,58,331,413,46,5,4.88,4.92,4.75,4.97,4.98,4.9,4.83,1,0,1,0,3.61,1,pink
1344243,86,95,1,37.78517,-122.46989,2,1.0,1.0,169.0,5,31,20,29,59,59,115,22,1,4.68,4.89,4.78,4.97,4.89,4.84,4.69,1,1,0,0,1.02,1,pink
1351783,100,0,2,37.75686,-122.485,1,1.0,1.0,47.0,30,1125,0,0,0,187,40,0,0,4.8,4.9,4.7,4.93,4.95,4.55,4.75,2,0,2,0,0.35,1,pink
1352111,100,100,3,37.78992,-122.43446,2,1.0,1.0,135.0,30,365,3,17,28,219,134,3,0,4.92,4.93,4.91,4.92,5.0,4.95,4.78,3,3,0,0,1.18,1,pink
1355744,100,75,2,37.77019,-122.43649,2,1.0,1.0,185.0,30,30,0,25,51,298,18,4,0,4.94,5.0,5.0,5.0,5.0,5.0,4.92,2,2,0,0,0.18,1,pink
1356129,100,100,3,37.75252,-122.42474,2,1.0,1.0,133.0,2,28,19,41,63,331,364,45,1,4.77,4.91,4.84,4.92,4.88,4.9,4.69,1,1,0,0,3.27,1,pink
1364882,100,0,2,37.79735,-122.43879,2,1.0,1.0,389.0,30,180,0,0,0,0,58,0,0,5.0,5.0,5.0,5.0,4.98,5.0,4.96,2,2,0,0,0.63,1,pink
1388523,88,67,1,37.75444,-122.42473,2,1.55,1.0,120.0,30,90,27,57,87,362,43,1,0,4.7,4.8,4.75,4.85,4.95,4.9,4.63,1,1,0,0,0.38,1,pink
1391982,88,88,2,37.75415,-122.42263,7,3.0,4.0,370.0,7,35,6,23,24,24,42,16,2,4.64,4.59,4.56,4.85,4.85,4.67,4.44,1,1,0,0,0.47,1,pink
1392204,100,100,2,37.73222,-122.46171,4,2.0,3.0,153.0,3,28,30,60,90,180,267,19,0,4.86,4.92,4.88,4.92,4.96,4.78,4.79,2,0,2,0,2.35,1,pink
1407881,88,88,1,37.76235,-122.4307,2,1.55,1.0,160.0,30,60,0,0,0,0,197,0,0,4.81,4.9,4.88,4.94,4.97,4.89,4.72,1,1,0,0,1.74,1,pink
1409218,100,100,2,37.77593,-122.41064,4,2.0,2.0,215.0,30,1125,0,0,0,217,66,2,0,4.85,4.91,4.96,4.93,4.95,4.55,4.65,2,2,0,0,0.58,1,pink
1421671,100,98,5,37.77009,-122.4247,2,1.55,1.0,173.0,2,25,14,35,65,120,352,56,6,4.97,4.96,4.98,4.98,4.99,4.93,4.81,3,3,0,0,3.11,1,pink
1421774,100,100,4,37.76669,-122.43626,2,1.0,1.0,132.0,3,1125,9,21,51,51,627,62,6,4.86,4.9,4.87,4.98,4.96,4.93,4.79,1,1,0,0,5.83,1,pink
1421937,100,100,2,37.73217,-122.46167,2,1.0,1.0,122.0,3,28,22,52,82,172,212,11,0,4.92,4.92,4.94,4.95,4.95,4.9,4.89,2,0,2,0,1.87,1,pink
1428465,88,100,3,37.75005,-122.43078,2,1.0,1.0,228.0,364,365,30,60,90,365,42,3,0,4.85,4.8,4.92,4.9,4.88,4.98,4.68,3,3,0,0,0.37,1,pink
