id,host_id,host_since,host_response_time,host_resp_rate_pct,host_accept_rate_pct,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price_usd,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_category
27937426,1257145,2011-10-06,within a few hours,100,25,f,1,t,t,Western Addition,37.78788,-122.42326,Entire condo,Entire home/apt,1,1 bath,1.0,2.0,230.0,6,16,t,0,0,0,0,5,0,0,2018-09-23,2018-11-11,5.0,5.0,4.8,5.0,5.0,5.0,5.0,f,1,1,0,0,0.1,excellent
27937727,1208533,2011-09-25,within an hour,100,98,t,6,t,f,Chinatown,37.79218,-122.40778,Private room in home,Private room,3,1.5 shared baths,1.0,1.0,200.0,2,1125,t,30,56,86,176,48,6,0,2018-08-31,2022-07-26,4.75,4.81,4.79,4.5,4.85,4.92,4.63,f,6,2,4,0,0.92,excellent
27938375,1208533,2011-09-25,within an hour,100,98,t,6,t,f,Chinatown,37.79092,-122.40788,Private room in home,Private room,2,1.5 shared baths,1.0,1.0,200.0,2,1125,t,30,56,86,176,49,4,0,2018-08-26,2022-09-26,4.63,4.8,4.84,4.57,4.67,4.92,4.57,f,6,2,4,0,0.94,excellent
27960744,122565703,2017-03-25,within an hour,100,96,t,1,t,f,Castro/Upper Market,37.76827,-122.43578,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,275.0,5,7,t,4,22,42,272,59,18,2,2019-04-12,2022-11-22,5.0,5.0,5.0,4.98,5.0,4.98,4.93,f,1,1,0,0,1.33,excellent
27980774,19610799,2014-08-07,within an hour,100,100,t,2,t,t,Castro/Upper Market,37.75773,-122.44001,Private room in condo,Private room,2,1 private bath,1.0,1.0,144.0,4,7,t,9,32,57,135,115,27,2,2018-11-14,2022-11-23,4.98,5.0,4.99,5.0,5.0,4.98,4.93,f,2,1,1,0,2.33,excellent
28009722,198616,2010-08-11,within an hour,100,100,t,1,t,t,Western Addition,37.77567,-122.42525,Private room in home,Private room,3,1 private bath,1.0,1.8,101.0,1,28,t,13,13,16,16,146,49,0,2018-09-15,2022-10-31,4.9,4.9,4.87,4.92,4.97,4.92,4.78,f,1,0,1,0,2.84,excellent
28028464,2239870,2012-04-27,within an hour,100,100,t,1,t,t,Inner Sunset,37.76539,-122.45762,Entire home,Entire home/apt,6,2.5 baths,3.0,3.0,525.0,3,29,t,3,7,17,85,214,44,4,2018-10-15,2022-11-29,4.97,4.95,4.94,5.0,5.0,4.89,4.71,t,1,1,0,0,4.25,excellent
28050674,70722023,2016-05-06,within an hour,100,100,t,240,t,t,Chinatown,37.791,-122.40784,Entire serviced apartment,Entire home/apt,2,1 bath,1.55,1.0,95.0,2,7,t,0,0,0,0,10,0,0,2018-10-16,2020-02-06,4.8,5.0,4.9,4.9,5.0,5.0,4.8,t,68,68,0,0,0.2,excellent
28074409,212075336,2018-08-27,within a day,100,78,t,1,t,f,Russian Hill,37.80127,-122.41362,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,514.0,2,29,t,2,23,53,90,60,21,0,2018-09-19,2022-08-30,4.98,4.97,4.93,4.93,4.98,4.98,4.87,f,1,1,0,0,1.17,excellent
28079540,100238132,2016-10-18,within an hour,100,97,t,129,t,t,Downtown/Civic Center,37.7881,-122.41247,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,243.0,5,1125,t,29,50,80,276,23,3,0,2018-09-17,2022-10-29,4.83,4.87,4.87,4.74,4.7,4.87,4.78,f,21,21,0,0,0.45,excellent
28079865,100238132,2016-10-18,within an hour,100,97,t,129,t,t,Downtown/Civic Center,37.78791,-122.41357,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,243.0,5,1125,t,29,50,80,276,28,4,1,2018-09-27,2022-11-29,4.89,4.89,4.93,4.82,4.89,4.82,4.54,f,21,21,0,0,0.55,excellent
28085987,17083537,2014-06-21,within an hour,100,100,t,1,t,t,Mission,37.77109,-122.42305,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,239.0,5,1125,t,10,10,10,10,25,8,0,2018-09-28,2022-10-28,5.0,5.0,4.96,5.0,5.0,4.92,4.84,f,1,1,0,0,0.49,excellent
28105604,4873926,2013-01-28,within an hour,100,56,t,2,t,t,Marina,37.79781,-122.42706,Entire home,Entire home/apt,4,1.5 baths,2.0,2.0,349.0,30,120,t,2,32,62,152,47,1,0,2018-09-28,2021-12-23,4.91,4.91,4.88,4.97,4.97,4.94,4.76,t,2,2,0,0,0.92,excellent
28121012,4107779,2012-11-10,within an hour,100,100,t,1,t,t,Mission,37.75186,-122.40847,Entire rental unit,Entire home/apt,5,1.5 baths,3.0,3.0,495.0,30,60,t,28,28,28,29,29,19,0,2019-08-11,2022-09-22,5.0,4.97,4.97,5.0,5.0,4.93,4.93,f,1,1,0,0,0.72,excellent
